Proteins,Compartments,Cyto,Nsol,NucI,Horg,Lorg,Colour
SPTLC2,S2,-1.2012141039892943,-1.5221192962414123,0.17575657467676625,0.8406065778731386,0.6721337849357968,orange
SPTY2D1,N1,-1.1927694293869862,-0.7372349324449936,-0.010413422460250621,-0.040104120412216046,1.32088297180676,grey90
SQLE,S2,-1.0834992994476007,-1.2898917287617204,0.24433945667656043,0.8294992799540825,0.6144352070255837,orange
SQRDL,M2,-1.3174115953166112,-1.605531294018422,0.3884590936764646,1.2320167074164292,-0.1892554734242038,tan4
SRCAP,N2,-1.0101434050000613,-0.2807012574539288,1.0251091095695744,-0.007944102721333633,-0.2760999224562724,grey70
SREBF1,S2,-1.2325131067226578,-1.1840899423339541,0.19441521482286434,0.82038729127815,0.6070367788707896,orange
SREBF2,S2,-1.0875571452927875,-1.318875963696669,0.2090920437520018,0.8276705864081022,0.6135961124556151,orange
SRFBP1,N3,-1.1773553176914886,-0.6931345690689855,1.0385575678681451,-0.015877171755859766,0.2412271427934025,grey50
SRGAP1,C2,1.010099252799805,0.06875609767350419,-0.23393347403565018,0.06341782207502608,-0.16379703456260375,aquamarine
SRI,C5,2.042742560237844,0.09084365946151664,-0.9024119007240698,-0.9002794160343943,-1.139226864244442,turquoise3
SRM,C5,1.8908813812388514,0.3451634628726109,-0.5960835807499538,-0.7555789251300205,-0.7772468716826211,turquoise3
SRP68,C2,0.8010932610112154,0.3977897922235627,-0.1781227614894968,0.01952144141845863,0.0019163249279122718,aquamarine
SRP72,C2,0.8201543127032892,0.3844385320921174,-0.20558962043382661,-0.044818151939601765,0.09875977297313292,aquamarine
SRPR,S2,-1.1428002327945848,-1.3983012995947366,0.19111224409653602,0.9041866183915943,0.4929021344705019,orange
SRPRB,S2,-1.12761280039182,-1.6187492515447763,0.24584049657102416,0.8795428730114262,0.5488338611801387,orange
SRR,C3,2.054102431920387,-0.16275455951007556,-0.8873171825836094,-0.4967010533485987,-0.7771316576236186,cyan
SRRT,N4,-1.248279228502807,0.7899135306119975,0.2795168331093525,-0.4150183576707217,0.17183940009266252,grey30
SRSF1,N1,-0.9384052699069234,-0.0019468606952827289,0.4562750006837286,-0.25941451965373696,0.8546312254454808,grey90
SRSF3,N1,-1.1218234080660148,-0.13028696592422018,0.6058528795241771,-0.3187849996930212,0.8302102183581324,grey90
SRSF4,N1,-1.1717154979728082,-0.11707296258224598,0.24889656987109995,-0.5840351400740138,1.2455113130925808,grey90
SRSF5,N1,-1.5220496107365098,-0.3437103987593867,-0.24096843261269338,-0.47741190767753083,1.455118361001739,grey90
SRSF7,N1,-1.209631006258087,-0.3580541998276824,0.9596094661579148,-0.25053569868995007,0.7631171047207235,grey90
SRSF9,N3,-1.2810561884799816,-1.0097537238863823,1.0343647866583794,0.0033010153251833256,0.5085960639843989,grey50
SRXN1,C3,1.7624146812503119,0.0726441111083855,-0.5133388912144667,-0.5611115876808574,-0.7718844044230957,cyan
SSBP1,M1,-1.3711913609405402,-0.5127449983297805,0.44846598571539037,1.0670269614836307,-0.37490614082165996,burlywood4
SSH3,C3,1.9659924516340634,0.1426682406528338,-0.8275821319204387,-0.6946519619268006,-1.1359416633696424,cyan
SSNA1,C5,1.83073904559229,0.5835789040896371,-0.6788100071843456,-0.451606145900267,-1.2079995253582556,turquoise3
SSR1,S2,-1.0150392396630363,-1.5117190583891318,0.1656850383753355,1.029784172303474,0.46359049141771635,orange
SSR3,S2,-1.6644153824618564,-1.6606687427220612,0.18370222965869104,1.0347498538449258,0.4895634234064288,orange
SSR4,S2,-1.0583863453452176,-1.390244925948103,0.2636077783681221,0.9182523061919707,0.391902103863913,orange
SSU72,C5,0.8157817197177049,1.1756640857589398,-0.34498306571405546,-0.9753016785752731,-1.163360461017798,turquoise3
ST13,C5,1.8684430702164523,0.5153744730122216,-1.075266047425251,-1.1688144097553783,-1.4717666495341541,turquoise3
ST3GAL1,S1,-0.8721731360748952,-0.9954868059763373,-0.25476237030367826,0.7523780162773257,1.0266423585835356,gold
ST3GAL4,S1,-1.6484336649640707,-1.763785421513699,-0.21633868075099183,0.9639171732166256,1.1782219322602256,gold
ST7,S3,-0.49521426144884007,-1.0265609419386141,0.28005048889966766,0.6576452070703152,0.4623101906478769,salmon
STAG1,N2,-0.9745351117197701,-0.20366179462134884,1.123799915850804,-0.2134402484382066,-0.552025743093816,grey70
STAG2,N2,-0.9070077939811203,0.20245209746895404,0.9773883289931686,-0.2740720015053012,-0.3910572849386948,grey70
STAMBP,C5,1.7000389373408678,0.4616217710882469,-0.6143592498717638,-0.4744691480198207,-0.7426819287786095,turquoise3
STARD3,S1,-0.8902024547961849,-1.4444828395924159,-0.36931645752462383,0.813863231355668,1.1479325455051699,gold
STARD3NL,S1,-1.0635614179047905,-1.0970990428162102,-0.33388177195489244,0.8142679822934902,1.0077278692866576,gold
STAT1,C3,1.711137280767598,0.219753674264575,-0.5438525845298545,-0.4451669270137195,-0.6980033902926871,cyan
STAT5B,C1,1.6536824642199708,0.1341818130669658,-0.5320031155904537,-0.23869041898830895,-0.4902431458702186,lightblue
STAU1,N1,-0.547871094549585,-0.9268908596471491,-0.20087935942945934,-0.028447361615372757,1.3877120802562954,grey90
STAU2,N1,-0.8954178505335351,-1.0250455461435704,-0.4440900331434359,-0.18441669513580727,1.5306364609549266,grey90
STIM1,S2,-1.182786599523509,-1.098354984895706,0.14361483163180094,0.7910289604914378,0.47742201120208927,orange
STIP1,C5,1.793719511393048,0.7029236146017128,-0.9708468404020475,-1.0593688186082433,-1.3105950269678224,turquoise3
STK24,C1,1.5180674771099911,0.23727120508865523,-0.5416500799444224,-0.3040388993201534,-0.5347172374046034,lightblue
STK38,C1,1.6926555021213963,0.11892405341297849,-0.41196428908329163,-0.4539281610189352,-0.7028178792741258,lightblue
STK38L,C1,1.659417230240424,0.18329641424551518,-0.39617466780489335,-0.17106551144993815,-0.7010251493844538,lightblue
STK4,C4,1.7449807420665278,-0.13193507555521422,-0.6120284106237359,-0.6239668188296938,-0.8090196754931736,deepskyblue2
STMN1,C4,2.081401601958837,0.28030687560059997,-1.057889876590953,-1.0834295346581087,-1.3414591253529122,deepskyblue2
STMN2,C4,2.241149302996582,0.3457188075398641,-1.4526238368533,-1.4730514058979458,-1.6300138298770253,deepskyblue2
STOM,S1,-0.9920820279236167,-1.1770831164906994,0.0844832491220701,0.8607251201540482,0.7601105564246806,gold
STOML2,M2,-1.2823216544924494,-1.4423015138883646,0.3658982489490501,1.2078745119335412,-0.2729628672572939,tan4
STRA6,S2,-1.3897728081194476,-1.2620607573163252,0.32645272301654027,0.7556647301054823,0.5563400277346653,orange
STRAP,C2,1.4459601698534712,0.5987513140871672,-0.7533330154289719,-0.915849467676305,-0.03515336305126107,aquamarine
STRBP,N3,-1.5408808834461345,-1.163078944106787,0.9343639427597222,-0.09093092073245068,0.7206035574980838,grey50
STS,S2,-0.7705520731441879,-0.9440472556969745,0.28917542910590166,0.8520173785865643,0.42773204603883586,orange
STT3A,S2,-1.4123932935343753,-1.6645553008670189,0.27467993729432394,0.9290268089325893,0.4236047708013862,orange
